Unnamed: 0,subject,depth,target,time_window,accuracy,itr
118,13,high,"(30, 31)","[0, 1500]",1.0,39.21568627450981
119,13,high,"(30, 31)","[0, 2000]",1.0,29.55665024630542
120,13,high,"(31, 32)","[0, 500]",1.0,113.20754716981132
121,13,high,"(31, 32)","[0, 1000]",1.0,58.252427184466015
122,13,high,"(31, 32)","[0, 1500]",1.0,39.21568627450981
123,13,high,"(31, 32)","[0, 2000]",1.0,29.55665024630542
124,13,high,"(32, 33)","[0, 500]",1.0,113.20754716981132
125,13,high,"(32, 33)","[0, 1000]",1.0,58.252427184466015
126,13,high,"(32, 33)","[0, 1500]",1.0,39.21568627450981
127,13,high,"(32, 33)","[0, 2000]",1.0,29.55665024630542
128,13,high,"(33, 34)","[0, 500]",0.9166666666666666,66.36035656939995
129,13,high,"(33, 34)","[0, 1000]",1.0,58.252427184466015
130,13,high,"(33, 34)","[0, 1500]",1.0,39.21568627450981
131,13,high,"(33, 34)","[0, 2000]",1.0,29.55665024630542
132,13,high,"(34, 35)","[0, 500]",0.8333333333333334,39.62010320962028
133,13,high,"(34, 35)","[0, 1000]",0.9583333333333334,43.69617711651347
134,13,high,"(34, 35)","[0, 1500]",1.0,39.21568627450981
135,13,high,"(34, 35)","[0, 2000]",1.0,29.55665024630542
136,13,high,"(35, 36)","[0, 500]",0.875,51.67194982646078
137,13,high,"(35, 36)","[0, 1000]",1.0,58.252427184466015
138,13,high,"(35, 36)","[0, 1500]",1.0,39.21568627450981
139,13,high,"(35, 36)","[0, 2000]",1.0,29.55665024630542
140,13,high,"(36, 37)","[0, 500]",0.8333333333333334,39.62010320962028
141,13,high,"(36, 37)","[0, 1000]",1.0,58.252427184466015
142,13,high,"(36, 37)","[0, 1500]",1.0,39.21568627450981
143,13,high,"(36, 37)","[0, 2000]",1.0,29.55665024630542
144,13,high,"(37, 38)","[0, 500]",0.875,51.67194982646078
145,13,high,"(37, 38)","[0, 1000]",1.0,58.252427184466015
146,13,high,"(37, 38)","[0, 1500]",1.0,39.21568627450981
147,13,high,"(37, 38)","[0, 2000]",1.0,29.55665024630542
148,13,high,"(38, 39)","[0, 500]",0.9583333333333334,84.91898571699788
149,13,high,"(38, 39)","[0, 1000]",1.0,58.252427184466015
150,13,high,"(38, 39)","[0, 1500]",1.0,39.21568627450981
151,13,high,"(38, 39)","[0, 2000]",1.0,29.55665024630542
152,13,high,"(39, 40)","[0, 500]",0.75,21.36474062726798
153,13,high,"(39, 40)","[0, 1000]",1.0,58.252427184466015
154,13,high,"(39, 40)","[0, 1500]",1.0,39.21568627450981
155,13,high,"(39, 40)","[0, 2000]",1.0,29.55665024630542
156,13,high,"(40, 41)","[0, 500]",0.7083333333333334,14.61911669033609
157,13,high,"(40, 41)","[0, 1000]",0.9583333333333334,43.69617711651347
158,13,high,"(40, 41)","[0, 1500]",1.0,39.21568627450981
159,13,high,"(40, 41)","[0, 2000]",1.0,29.55665024630542
160,13,high,"(41, 42)","[0, 500]",0.8333333333333334,39.62010320962028
161,13,high,"(41, 42)","[0, 1000]",1.0,58.252427184466015
162,13,high,"(41, 42)","[0, 1500]",1.0,39.21568627450981
163,13,high,"(41, 42)","[0, 2000]",1.0,29.55665024630542
164,13,high,"(42, 43)","[0, 500]",0.8333333333333334,39.62010320962028
165,13,high,"(42, 43)","[0, 1000]",1.0,58.252427184466015
166,13,high,"(42, 43)","[0, 1500]",1.0,39.21568627450981
167,13,high,"(42, 43)","[0, 2000]",1.0,29.55665024630542
168,13,high,"(43, 44)","[0, 500]",0.6666666666666666,9.249528220246464
169,13,high,"(43, 44)","[0, 1000]",1.0,58.252427184466015
170,13,high,"(43, 44)","[0, 1500]",1.0,39.21568627450981
171,13,high,"(43, 44)","[0, 2000]",1.0,29.55665024630542
172,13,high,"(44, 45)","[0, 500]",0.8333333333333334,39.62010320962028
173,13,high,"(44, 45)","[0, 1000]",1.0,58.252427184466015
174,13,high,"(44, 45)","[0, 1500]",1.0,39.21568627450981
175,13,high,"(44, 45)","[0, 2000]",1.0,29.55665024630542
176,13,high,"(45, 46)","[0, 500]",0.75,21.36474062726798
177,13,high,"(45, 46)","[0, 1000]",0.9583333333333334,43.69617711651347
178,13,high,"(45, 46)","[0, 1500]",1.0,39.21568627450981
179,13,high,"(45, 46)","[0, 2000]",1.0,29.55665024630542
180,13,high,"(46, 47)","[0, 500]",0.5,0.0
181,13,high,"(46, 47)","[0, 1000]",1.0,58.252427184466015
182,13,high,"(46, 47)","[0, 1500]",1.0,39.21568627450981
183,13,high,"(46, 47)","[0, 2000]",1.0,29.55665024630542
184,13,high,"(47, 48)","[0, 500]",0.6666666666666666,9.249528220246464
185,13,high,"(47, 48)","[0, 1000]",1.0,58.252427184466015
186,13,high,"(47, 48)","[0, 1500]",1.0,39.21568627450981
187,13,high,"(47, 48)","[0, 2000]",1.0,29.55665024630542
188,13,high,"(48, 49)","[0, 500]",0.5833333333333334,2.279008681001582
189,13,high,"(48, 49)","[0, 1000]",0.75,10.993507313060222
190,13,high,"(48, 49)","[0, 1500]",0.9583333333333334,29.416380673208415
191,13,high,"(48, 49)","[0, 2000]",0.9583333333333334,22.17096671429009
192,13,high,"(49, 50)","[0, 500]",0.7083333333333334,14.61911669033609
193,13,high,"(49, 50)","[0, 1000]",0.5833333333333334,1.1726937873114933
194,13,high,"(49, 50)","[0, 1500]",0.8333333333333334,13.724610915750818
195,13,high,"(49, 50)","[0, 2000]",0.8333333333333334,10.344164877388547
196,13,high,"(50, 51)","[0, 500]",0.7083333333333334,14.61911669033609
197,13,high,"(50, 51)","[0, 1000]",0.4166666666666667,1.1726937873114869
198,13,high,"(50, 51)","[0, 1500]",0.6666666666666666,3.2040849390396255
199,13,high,"(50, 51)","[0, 2000]",0.6666666666666666,2.41490145651755
200,13,high,"(51, 52)","[0, 500]",0.4583333333333333,0.5677552997015088
201,13,high,"(51, 52)","[0, 1000]",0.7916666666666666,15.245541778051425
202,13,high,"(51, 52)","[0, 1500]",0.9166666666666666,22.987574497896716
203,13,high,"(51, 52)","[0, 2000]",0.9583333333333334,22.17096671429009
204,13,high,"(52, 53)","[0, 500]",0.625,5.158414763211503
205,13,high,"(52, 53)","[0, 1000]",0.9166666666666666,34.146591244448516
206,13,high,"(52, 53)","[0, 1500]",1.0,39.21568627450981
207,13,high,"(52, 53)","[0, 2000]",1.0,29.55665024630542
208,13,high,"(53, 54)","[0, 500]",0.6666666666666666,9.249528220246464
209,13,high,"(53, 54)","[0, 1000]",0.875,26.588479036916713
210,13,high,"(53, 54)","[0, 1500]",0.9166666666666666,22.987574497896716
211,13,high,"(53, 54)","[0, 2000]",0.9583333333333334,22.17096671429009
212,13,high,"(54, 55)","[0, 500]",0.625,5.158414763211503
213,13,high,"(54, 55)","[0, 1000]",0.9166666666666666,34.146591244448516
214,13,high,"(54, 55)","[0, 1500]",1.0,39.21568627450981
215,13,high,"(54, 55)","[0, 2000]",1.0,29.55665024630542
216,13,high,"(55, 56)","[0, 500]",0.7083333333333334,14.61911669033609
217,13,high,"(55, 56)","[0, 1000]",0.8333333333333334,20.387043399124998
218,13,high,"(55, 56)","[0, 1500]",0.875,17.89943360001583
219,13,high,"(55, 56)","[0, 2000]",0.9583333333333334,22.17096671429009
220,13,high,"(56, 57)","[0, 500]",0.4166666666666667,2.279008681001569
221,13,high,"(56, 57)","[0, 1000]",0.9583333333333334,43.69617711651347
222,13,high,"(56, 57)","[0, 1500]",0.9583333333333334,29.416380673208415
223,13,high,"(56, 57)","[0, 2000]",1.0,29.55665024630542
224,13,high,"(57, 58)","[0, 500]",0.375,5.158414763211503
225,13,high,"(57, 58)","[0, 1000]",0.75,10.993507313060222
226,13,high,"(57, 58)","[0, 1500]",0.875,17.89943360001583
227,13,high,"(57, 58)","[0, 2000]",0.9583333333333334,22.17096671429009
228,13,high,"(58, 59)","[0, 500]",0.6666666666666666,9.249528220246464
229,13,high,"(58, 59)","[0, 1000]",0.9166666666666666,34.146591244448516
230,13,high,"(58, 59)","[0, 1500]",0.9166666666666666,22.987574497896716
231,13,high,"(58, 59)","[0, 2000]",0.9583333333333334,22.17096671429009
232,13,high,"(59, 60)","[0, 500]",0.6666666666666666,9.249528220246464
233,13,high,"(59, 60)","[0, 1000]",0.9166666666666666,34.146591244448516
234,13,high,"(59, 60)","[0, 1500]",0.7916666666666666,10.263338582609785
235,13,high,"(59, 60)","[0, 2000]",0.9166666666666666,17.325610335853188
